00000.png;135;590;248;640;1;0.317
00003.png;1290;399;1586;587;1;0.676
00004.png;1102;581;1144;616;1;0.622
00004.png;1341;478;1616;609;1;0.613
00004.png;1348;432;1464;483;1;0.602
00004.png;1465;430;1605;481;1;0.462
00005.png;1149;462;1249;511;1;0.689
00005.png;1137;509;1404;638;1;0.678
00005.png;1249;465;1398;516;1;0.628
00006.png;611;38;947;357;1;0.786
00006.png;962;74;1006;111;1;0.258
00007.png;1285;363;1604;570;1;0.727
00008.png;1232;454;1320;497;1;0.659
00008.png;1220;494;1428;611;1;0.601
00008.png;1321;461;1423;505;1;0.524
00009.png;1265;419;1523;589;1;0.816
00010.png;1187;518;1437;630;1;0.697
00010.png;1199;468;1309;518;1;0.679
00010.png;1309;475;1434;526;1;0.554
00011.png;1185;436;1510;624;1;0.609
00011.png;707;563;783;596;1;0.574
00011.png;1208;371;1361;445;1;0.569
00011.png;1361;391;1508;461;1;0.512
00012.png;1103;420;1532;630;1;0.638
00012.png;1119;322;1541;461;1;0.454
00013.png;739;178;995;384;1;0.734
00014.png;951;89;1122;145;1;0.553
00014.png;803;149;1129;336;1;0.497
00014.png;804;90;951;147;1;0.464
00014.png;1001;116;1126;218;1;0.309
00015.png;630;198;879;402;1;0.742
00016.png;851;169;966;219;1;0.702
00016.png;968;168;1090;217;1;0.644
00016.png;843;216;1100;372;1;0.643
00017.png;585;180;839;398;1;0.804
00018.png;1251;373;1425;443;1;0.599
00018.png;1234;447;1633;587;1;0.589
00018.png;1427;384;1627;459;1;0.535
00021.png;1277;356;1725;568;1;0.737
00021.png;1301;287;1485;360;1;0.660
00021.png;1488;295;1712;368;1;0.572
00022.png;1376;379;1732;567;1;0.626
00022.png;1398;317;1536;383;1;0.530
00022.png;1538;333;1729;403;1;0.501
00024.png;1355;256;1753;506;1;0.737
00026.png;1110;306;1259;389;1;0.705
00026.png;1090;375;1422;580;1;0.604
00026.png;1251;324;1424;409;1;0.531
00027.png;567;97;855;310;1;0.803
00028.png;1195;316;1636;580;1;0.568
00028.png;1235;242;1423;340;1;0.562
00028.png;1418;270;1631;373;1;0.453
00028.png;1437;1043;1531;1080;1;0.286
00029.png;1086;354;1459;580;1;0.635
00029.png;1273;311;1459;389;1;0.359
00029.png;1117;291;1276;365;1;0.253
00030.png;1272;276;1387;332;1;0.720
00030.png;1388;280;1542;338;1;0.592
00030.png;1259;333;1552;506;1;0.588
00032.png;1310;191;1489;276;1;0.617
00032.png;1262;257;1759;607;1;0.611
00032.png;1481;212;1759;309;1;0.382
00033.png;621;100;834;352;1;0.699
00034.png;1379;345;1836;552;1;0.459
00035.png;1369;394;1680;589;1;0.461
00036.png;506;111;746;355;1;0.622
00037.png;1262;371;1532;553;1;0.259
00038.png;1301;378;1759;578;1;0.428
00039.png;769;66;1018;201;1;0.485
00039.png;758;173;1005;292;1;0.465
00040.png;1316;364;1672;550;1;0.678
00040.png;1320;212;1674;386;1;0.615
00041.png;639;52;939;327;1;0.711
00042.png;1104;269;1484;554;1;0.579
00042.png;1143;210;1292;288;1;0.565
00042.png;1289;235;1484;318;1;0.432
00043.png;696;60;964;321;1;0.689
00044.png;1246;220;1825;526;1;0.671
00044.png;1460;157;1812;251;1;0.520
00044.png;1276;154;1467;229;1;0.465
00045.png;619;47;893;352;1;0.744
00046.png;1327;235;1494;312;1;0.615
00046.png;1317;305;1673;512;1;0.586
00046.png;1490;243;1664;312;1;0.557
00047.png;1375;337;1677;517;1;0.697
00048.png;1009;448;1238;580;1;0.673
00048.png;1024;413;1107;452;1;0.641
00048.png;1105;420;1236;463;1;0.562
00049.png;460;52;861;374;1;0.719
00050.png;980;437;1103;493;1;0.602
00050.png;952;481;1255;713;1;0.593
00050.png;1102;453;1251;512;1;0.485
00051.png;1176;560;1412;716;1;0.841
00052.png;622;118;1109;376;1;0.666
00052.png;646;38;854;122;1;0.660
00052.png;857;45;1091;129;1;0.564
00052.png;1009;668;1156;780;1;0.363
00053.png;1089;511;1414;697;1;0.662
00053.png;1110;445;1257;518;1;0.607
00053.png;1255;460;1412;533;1;0.523
00054.png;1099;542;1192;581;1;0.671
00054.png;1093;576;1327;682;1;0.655
00054.png;1192;539;1315;578;1;0.596
00055.png;1443;462;1641;611;1;0.631
00055.png;1433;585;1639;704;1;0.426
00056.png;1259;564;1668;736;1;0.564
00056.png;1282;482;1453;571;1;0.563
00056.png;1455;497;1657;588;1;0.491
00057.png;737;344;1014;499;1;0.629
00057.png;757;297;873;352;1;0.549
00057.png;874;310;1011;368;1;0.487
00058.png;540;194;858;449;1;0.691
00059.png;1106;444;1483;711;1;0.607
00059.png;1141;384;1289;461;1;0.565
00059.png;1288;404;1476;485;1;0.496
00060.png;738;217;1120;437;1;0.571
00060.png;767;162;904;228;1;0.566
00060.png;901;180;1119;257;1;0.417
00061.png;422;139;805;425;1;0.754
00061.png;1147;678;1197;729;1;0.702
00061.png;54;646;110;684;1;0.655
00062.png;569;144;804;418;1;0.680
00062.png;822;225;1018;416;1;0.649
00062.png;829;164;1011;227;1;0.575
00063.png;787;98;1019;435;1;0.709
00063.png;1020;119;1319;196;1;0.586
00063.png;1013;181;1318;440;1;0.533
00063.png;1106;694;1164;715;1;0.377
00063.png;993;750;1047;782;1;0.220
00064.png;606;146;963;445;1;0.699
00065.png;496;165;875;442;1;0.738
00066.png;754;131;1329;424;1;0.524
00066.png;798;57;1029;162;1;0.503
00066.png;1023;93;1320;208;1;0.400
00067.png;497;89;915;425;1;0.694
00067.png;1329;602;1408;686;1;0.685
00067.png;176;527;275;619;1;0.669
00067.png;914;220;1323;475;1;0.571
00067.png;949;163;1097;233;1;0.566
00067.png;1095;186;1321;268;1;0.405
00068.png;479;117;892;440;1;0.728
00069.png;1186;626;1215;668;1;0.680
00069.png;925;436;1104;485;1;0.663
00069.png;734;382;917;555;1;0.624
00070.png;572;118;916;444;1;0.627
00070.png;1782;491;1889;633;1;0.612
00070.png;926;227;1260;314;1;0.539
00070.png;1795;614;1898;682;1;0.416
00071.png;1261;244;1628;532;1;0.453
00071.png;1260;81;1615;253;1;0.222
00074.png;1196;368;1586;538;1;0.730
00074.png;1210;300;1388;373;1;0.599
00074.png;1387;306;1575;379;1;0.585
00083.png;1455;326;1751;485;1;0.492
00084.png;1386;82;1875;433;1;0.550
00084.png;1413;618;1515;645;1;0.296
00084.png;940;431;1169;603;1;0.273
00085.png;1262;309;1360;365;1;0.615
00085.png;1255;338;1651;521;1;0.608
00085.png;1359;284;1628;353;1;0.498
00086.png;1245;270;1420;340;1;0.671
00086.png;1222;335;1631;537;1;0.621
00086.png;1421;280;1623;350;1;0.577
00087.png;890;166;994;215;1;0.688
